algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
RA-SOMP+MUSIC,gaussian,1,0.01,11,1,2,0.13640662483152985,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.02,21,1,2,0.07142448194222208,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.04,41,1,2,0.03658536141082181,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.06,62,1,3,0.034130553292259905,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.08,82,2,4,0.028324605195036795,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.1,103,2,3,0.029126213592233097,logistic_fit
SCoSaMP,gaussian,1,0.01,11,0,2,0.07510685511479068,logistic_fit
SCoSaMP,gaussian,1,0.02,21,2,4,0.08498177465492428,logistic_fit
SCoSaMP,gaussian,1,0.04,41,4,6,0.13389549284118407,logistic_fit
SCoSaMP,gaussian,1,0.06,62,8,10,0.15226976778112386,logistic_fit
SCoSaMP,gaussian,1,0.08,82,12,14,0.17057658849090707,logistic_fit
SCoSaMP,gaussian,1,0.1,103,18,20,0.16623050481483137,logistic_fit
SCoSaMP,gaussian,1,0.15,154,28,30,1.0,logistic_fit
SCoSaMP,gaussian,1,0.2,205,46,48,0.22415929786950167,logistic_fit
SCoSaMP,gaussian,1,0.25,256,63,65,0.0,logistic_fit
SCoSaMP,gaussian,1,0.3,308,76,78,1.0,logistic_fit
SCoSaMP,gaussian,1,0.35,359,94,96,0.27129994497070387,logistic_fit
SCoSaMP,gaussian,1,0.4,410,120,122,0.29348589209911524,logistic_fit
SNHTP,gaussian,1,0.01,11,0,2,0.08445772362308097,logistic_fit
SNHTP,gaussian,1,0.02,21,1,3,0.09353211808073812,logistic_fit
SNHTP,gaussian,1,0.04,41,4,6,0.12386312209306283,logistic_fit
SNHTP,gaussian,1,0.06,62,11,13,0.0,logistic_fit
SNHTP,gaussian,1,0.08,82,10,12,0.14661076346618565,logistic_fit
SNHTP,gaussian,1,0.1,103,18,20,0.17546976283728977,logistic_fit
SNHTP,gaussian,1,0.15,154,28,30,0.19472259716597717,logistic_fit
SNHTP,gaussian,1,0.2,205,43,45,0.2113620283247212,logistic_fit
SNHTP,gaussian,1,0.25,256,57,59,0.2260586007522045,logistic_fit
SNHTP,gaussian,1,0.3,308,76,78,0.0,logistic_fit
SNHTP,gaussian,1,0.35,359,89,91,0.2527037004149485,logistic_fit
SNHTP,gaussian,1,0.4,410,108,110,0.2666902190397215,logistic_fit
SNHTP,gaussian,1,0.45,461,128,130,0.277807389676418,logistic_fit
SNHTP,gaussian,1,0.5,512,143,145,0.0,logistic_fit
SNHTP,gaussian,1,0.55,564,166,168,0.2996953753432473,logistic_fit
SNHTP,gaussian,1,0.6,615,191,193,0.0,logistic_fit
SNHTP,gaussian,1,0.65,666,207,209,0.31228194696287837,logistic_fit
SNHTP,gaussian,1,0.7,717,222,224,1.0,logistic_fit
SNHTP,gaussian,1,0.75,768,251,253,0.33057070269276384,logistic_fit
SNHTP,gaussian,1,0.8,820,280,282,0.3426911370890962,logistic_fit
SNHTP,gaussian,1,0.85,871,325,327,0.0,logistic_fit
SNHTP,gaussian,1,0.9,922,330,332,1.0,logistic_fit
SNHTP,gaussian,1,0.95,973,363,365,1.0,logistic_fit
SNHTP,gaussian,1,0.99,1014,379,381,1.0,logistic_fit
SNIHT,gaussian,1,0.01,11,0,2,0.08445772362308097,logistic_fit
SNIHT,gaussian,1,0.02,21,1,2,0.09347875036613859,logistic_fit
SNIHT,gaussian,1,0.04,41,4,5,0.11643184429603301,logistic_fit
SNIHT,gaussian,1,0.06,62,7,9,0.1503531131021263,logistic_fit
SNIHT,gaussian,1,0.08,82,12,14,0.14331402352003897,logistic_fit
SNIHT,gaussian,1,0.1,103,15,17,0.15866981273045494,logistic_fit
SNIHT,gaussian,1,0.15,154,23,25,1.0,logistic_fit
SNIHT,gaussian,1,0.2,205,43,45,0.20340694060113582,logistic_fit
SNIHT,gaussian,1,0.25,256,55,57,0.22176014805910138,logistic_fit
SNIHT,gaussian,1,0.3,308,76,78,0.0,logistic_fit
SNIHT,gaussian,1,0.35,359,89,91,0.25196555516023883,logistic_fit
SNIHT,gaussian,1,0.4,410,102,104,0.25362751279312856,logistic_fit
SNIHT,gaussian,1,0.45,461,128,130,0.2790824494809265,logistic_fit
SNIHT,gaussian,1,0.5,512,143,145,1.0,logistic_fit
SNIHT,gaussian,1,0.55,564,157,159,0.0,logistic_fit
SNIHT,gaussian,1,0.6,615,153,155,0.25254029875865763,logistic_fit
SNIHT,gaussian,1,0.65,666,155,157,0.23217600626791146,logistic_fit
SNIHT,gaussian,1,0.7,717,133,135,1.0,logistic_fit
SNIHT,gaussian,1,0.75,768,143,145,1.0,logistic_fit
SNIHT,gaussian,1,0.8,820,153,155,0.18464014600241732,logistic_fit
SNIHT,gaussian,1,0.85,871,108,110,0.1263403000982433,logistic_fit
SNIHT,gaussian,1,0.9,922,115,117,1.0,logistic_fit
SNIHT,gaussian,1,0.95,973,121,123,1.0,logistic_fit
SNIHT,gaussian,1,0.99,1014,126,128,0.12622019744341897,logistic_fit
SCoSaMP,gaussian,10,0.01,11,0,2,0.09324849671084995,logistic_fit
SCoSaMP,gaussian,10,0.02,21,3,5,0.1980010074737201,logistic_fit
SCoSaMP,gaussian,10,0.04,41,14,16,0.3354088794055984,logistic_fit
SCoSaMP,gaussian,10,0.06,62,26,28,1.0,logistic_fit
SNHTP,gaussian,10,0.01,11,0,2,0.09324849671084995,logistic_fit
SNHTP,gaussian,10,0.02,21,2,4,0.16731632105570793,logistic_fit
SNHTP,gaussian,10,0.04,41,14,16,0.3414633781033751,logistic_fit
SNHTP,gaussian,10,0.06,62,22,24,1.0,logistic_fit
SNHTP,gaussian,10,0.08,82,40,42,0.4861189111589087,logistic_fit
SNHTP,gaussian,10,0.1,103,50,52,1.0,logistic_fit
SNHTP,gaussian,10,0.15,154,80,82,1.0,logistic_fit
SNHTP,gaussian,10,0.2,205,107,109,1.0,logistic_fit
SNHTP,gaussian,10,0.25,256,138,140,0.5414708079389524,logistic_fit
SNHTP,gaussian,10,0.3,308,167,169,1.0,logistic_fit
SNHTP,gaussian,10,0.35,359,197,199,1.0,logistic_fit
SNHTP,gaussian,10,0.4,410,229,231,1.0,logistic_fit
SNHTP,gaussian,10,0.45,461,257,259,1.0,logistic_fit
SNHTP,gaussian,10,0.5,512,294,296,0.5695947878580994,logistic_fit
SNHTP,gaussian,10,0.55,564,324,326,0.0,logistic_fit
SNHTP,gaussian,10,0.6,615,353,355,0.5748863928210157,logistic_fit
SNHTP,gaussian,10,0.65,666,394,396,0.0,logistic_fit
SNHTP,gaussian,10,0.7,717,423,425,0.0,logistic_fit
SNHTP,gaussian,10,0.75,768,448,450,0.5837660303071289,logistic_fit
SNHTP,gaussian,10,0.8,820,488,490,0.5938670412045677,logistic_fit
SNHTP,gaussian,10,0.85,871,518,520,1.0,logistic_fit
SNHTP,gaussian,10,0.9,922,546,548,1.0,logistic_fit
SNHTP,gaussian,10,0.95,973,590,592,0.6084835118607053,logistic_fit
SNHTP,gaussian,10,0.99,1014,616,618,0.0,logistic_fit
SNIHT,gaussian,10,0.01,11,0,2,0.09324849671084995,logistic_fit
SNIHT,gaussian,10,0.02,21,2,4,0.16180938970733816,logistic_fit
SNIHT,gaussian,10,0.04,41,14,16,0.0,logistic_fit
SNIHT,gaussian,10,0.06,62,22,24,0.3732896343787409,logistic_fit
SNIHT,gaussian,10,0.08,82,30,32,0.40534864070278254,logistic_fit
SNIHT,gaussian,10,0.1,103,46,48,0.45652357617162564,logistic_fit
SNIHT,gaussian,10,0.15,154,76,78,1.0,logistic_fit
SNIHT,gaussian,10,0.2,205,107,109,1.0,logistic_fit
SNIHT,gaussian,10,0.25,256,142,144,0.0,logistic_fit
SNIHT,gaussian,10,0.3,308,162,164,0.0,logistic_fit
SNIHT,gaussian,10,0.35,359,167,169,0.46551689022185405,logistic_fit
SNIHT,gaussian,10,0.4,410,165,167,0.40945927178324754,logistic_fit
SNIHT,gaussian,10,0.45,461,174,176,0.0,logistic_fit
SNIHT,gaussian,10,0.5,512,167,169,1.0,logistic_fit
SNIHT,gaussian,10,0.55,564,175,177,0.0,logistic_fit
SNIHT,gaussian,10,0.6,615,153,155,0.2510768553346284,logistic_fit
SNIHT,gaussian,10,0.65,666,166,168,0.0,logistic_fit
SNIHT,gaussian,10,0.7,717,144,146,0.2022315365182589,logistic_fit
SNIHT,gaussian,10,0.75,768,143,145,0.1861427150070954,logistic_fit
SNIHT,gaussian,10,0.8,820,140,142,0.0,logistic_fit
SNIHT,gaussian,10,0.85,871,106,108,0.12361743304070323,logistic_fit
SNIHT,gaussian,10,0.9,922,143,145,0.15453786639236083,logistic_fit
SNIHT,gaussian,10,0.95,973,121,123,0.1250377404351352,logistic_fit
SNIHT,gaussian,10,0.99,1014,126,128,0.12475363168313984,logistic_fit
