algorithm,bound_model,delta,rho,mu_at_rho
SIHT,surrogate_arip_v1,0.05,0.00011874735355377197,0.9999788762409145
SIHT,surrogate_arip_v1,0.1,0.00029049813747406006,0.9999970958956342
SIHT,surrogate_arip_v1,0.15,0.0004977583885192871,0.9999990537749492
SIHT,surrogate_arip_v1,0.2,0.0007346644997596741,0.9999997003224534
SIHT,surrogate_arip_v1,0.25,0.000997699797153473,0.9999978358905584
SIHT,surrogate_arip_v1,0.3,0.0012843683362007141,0.999997429716266
SIHT,surrogate_arip_v1,0.35,0.0015927255153656006,0.9999988439590631
SIHT,surrogate_arip_v1,0.4,0.0019211620092391968,0.999998552367312
SIHT,surrogate_arip_v1,0.45,0.0022683218121528625,0.9999985117761374
SIHT,surrogate_arip_v1,0.5,0.002633020281791687,0.9999987545577022
SIHT,surrogate_arip_v1,0.55,0.003014206886291504,0.9999990448834583
SIHT,surrogate_arip_v1,0.6,0.003410942852497101,0.9999998075945008
SIHT,surrogate_arip_v1,0.65,0.0038223639130592346,0.9999991837443281
SIHT,surrogate_arip_v1,0.7,0.004247710108757019,0.9999998564467643
SIHT,surrogate_arip_v1,0.75,0.004686251282691956,0.9999994920468551
SIHT,surrogate_arip_v1,0.8,0.005137339234352112,0.9999993682151325
SIHT,surrogate_arip_v1,0.85,0.005600370466709137,0.9999999352767179
SIHT,surrogate_arip_v1,0.9,0.006074763834476471,0.9999995901658408
SIHT,surrogate_arip_v1,0.95,0.006560005247592926,0.9999995663404113
SNIHT,surrogate_arip_v1,0.05,2.8274953365325928e-05,0.999939501180573
SNIHT,surrogate_arip_v1,0.1,6.917119026184082e-05,0.9999634332251961
SNIHT,surrogate_arip_v1,0.15,0.00011852383613586426,0.9999722673432226
SNIHT,surrogate_arip_v1,0.2,0.00017493963241577148,0.9999886738121
SNIHT,surrogate_arip_v1,0.25,0.0002375766634941101,0.999992946090367
SNIHT,surrogate_arip_v1,0.3,0.0003058388829231262,0.9999914994764761
SNIHT,surrogate_arip_v1,0.35,0.00037926435470581055,0.9999903193496698
SNIHT,surrogate_arip_v1,0.4,0.0004574805498123169,0.9999998921586194
SNIHT,surrogate_arip_v1,0.45,0.0005401447415351868,0.9999957191129113
SNIHT,surrogate_arip_v1,0.5,0.0006269887089729309,0.9999960113236392
SNIHT,surrogate_arip_v1,0.55,0.0007177591323852539,0.9999965115248387
SNIHT,surrogate_arip_v1,0.6,0.000812232494354248,0.9999976214017053
SNIHT,surrogate_arip_v1,0.65,0.0009102001786231995,0.9999956286302116
SNIHT,surrogate_arip_v1,0.7,0.001011490821838379,0.9999991873119952
SNIHT,surrogate_arip_v1,0.75,0.0011159181594848633,0.9999984146875068
SNIHT,surrogate_arip_v1,0.8,0.0012233331799507141,0.9999979445091879
SNIHT,surrogate_arip_v1,0.85,0.0013335943222045898,0.9999991440856889
SNIHT,surrogate_arip_v1,0.9,0.001446560025215149,0.9999988923157952
SNIHT,surrogate_arip_v1,0.95,0.0015621110796928406,0.9999997372012456
SHTP,surrogate_arip_v1,0.05,0.00017279386520385742,0.9999686786906292
SHTP,surrogate_arip_v1,0.1,0.0004227161407470703,0.9999948642366897
SHTP,surrogate_arip_v1,0.15,0.00072430819272995,0.9999963462386279
SHTP,surrogate_arip_v1,0.2,0.0010690391063690186,0.9999967491881555
SHTP,surrogate_arip_v1,0.25,0.0014517977833747864,0.9999971492065868
SHTP,surrogate_arip_v1,0.3,0.0018689483404159546,0.9999990810439537
SHTP,surrogate_arip_v1,0.35,0.0023176446557044983,0.9999979325504982
SHTP,surrogate_arip_v1,0.4,0.002795569598674774,0.9999982309953868
SHTP,surrogate_arip_v1,0.45,0.0033007413148880005,0.9999990250822028
SHTP,surrogate_arip_v1,0.5,0.003831431269645691,0.9999993740700798
SHTP,surrogate_arip_v1,0.55,0.004386112093925476,0.9999994806579475
SHTP,surrogate_arip_v1,0.6,0.004963412880897522,0.9999992996474872
SHTP,surrogate_arip_v1,0.65,0.005562096834182739,0.9999994027185105
SHTP,surrogate_arip_v1,0.7,0.0061810314655303955,0.999999575106353
SHTP,surrogate_arip_v1,0.75,0.006819173693656921,0.9999992509309865
SHTP,surrogate_arip_v1,0.8,0.007475577294826508,0.9999996127348988
SHTP,surrogate_arip_v1,0.85,0.008149348199367523,0.9999997366868368
SHTP,surrogate_arip_v1,0.9,0.008839666843414307,0.9999999204181627
SHTP,surrogate_arip_v1,0.95,0.009545758366584778,0.9999994680175264
SNHTP,surrogate_arip_v1,0.05,4.0240585803985596e-05,0.999889069973036
SNHTP,surrogate_arip_v1,0.1,9.845197200775146e-05,0.9999874395951057
SNHTP,surrogate_arip_v1,0.15,0.00016869604587554932,0.999999570622028
SNHTP,surrogate_arip_v1,0.2,0.0002489835023880005,0.9999919125243825
SNHTP,surrogate_arip_v1,0.25,0.0003381296992301941,0.9999927093496628
SNHTP,surrogate_arip_v1,0.3,0.0004352852702140808,0.999993827628402
SNHTP,surrogate_arip_v1,0.35,0.0005397871136665344,0.9999908090401105
SNHTP,surrogate_arip_v1,0.4,0.0006510987877845764,0.9999927590027844
SNHTP,surrogate_arip_v1,0.45,0.0007687583565711975,0.9999967805766004
SNHTP,surrogate_arip_v1,0.5,0.0008923560380935669,0.999994946474836
SNHTP,surrogate_arip_v1,0.55,0.001021549105644226,0.9999993345562866
SNHTP,surrogate_arip_v1,0.6,0.0011560022830963135,0.9999969415573325
SNHTP,surrogate_arip_v1,0.65,0.001295439898967743,0.9999978273860737
SNHTP,surrogate_arip_v1,0.7,0.0014395937323570251,0.9999984901351749
SNHTP,surrogate_arip_v1,0.75,0.0015882179141044617,0.9999969780959499
SNHTP,surrogate_arip_v1,0.8,0.0017410963773727417,0.999996891932941
SNHTP,surrogate_arip_v1,0.85,0.0018980279564857483,0.9999999783180572
SNHTP,surrogate_arip_v1,0.9,0.0020588040351867676,0.999999070214951
SNHTP,surrogate_arip_v1,0.95,0.0022232532501220703,0.9999974955072622
SCoSaMP,surrogate_arip_v1,0.05,5.4955482482910156e-05,0.9998965884878235
SCoSaMP,surrogate_arip_v1,0.1,0.0001344531774520874,0.9999979257264073
SCoSaMP,surrogate_arip_v1,0.15,0.0002303794026374817,0.9999958747504006
SCoSaMP,surrogate_arip_v1,0.2,0.00034002214670181274,0.9999840840255212
SCoSaMP,surrogate_arip_v1,0.25,0.000461772084236145,0.9999991357359471
SCoSaMP,surrogate_arip_v1,0.3,0.0005944520235061646,0.9999974926749742
SCoSaMP,surrogate_arip_v1,0.35,0.0007371678948402405,0.9999963343478383
SCoSaMP,surrogate_arip_v1,0.4,0.0008891820907592773,0.9999981986165658
SCoSaMP,surrogate_arip_v1,0.45,0.0010498613119125366,0.9999991456801788
SCoSaMP,surrogate_arip_v1,0.5,0.001218654215335846,0.9999977070220889
SCoSaMP,surrogate_arip_v1,0.55,0.0013950839638710022,0.9999999683396266
SCoSaMP,surrogate_arip_v1,0.6,0.00157870352268219,0.999998950526297
SCoSaMP,surrogate_arip_v1,0.65,0.0017691254615783691,0.9999989021968344
SCoSaMP,surrogate_arip_v1,0.7,0.0019659847021102905,0.9999974173366685
SCoSaMP,surrogate_arip_v1,0.75,0.0021689608693122864,0.9999985098756203
SCoSaMP,surrogate_arip_v1,0.8,0.002377741038799286,0.9999986330195405
SCoSaMP,surrogate_arip_v1,0.85,0.002592049539089203,0.9999998840712785
SCoSaMP,surrogate_arip_v1,0.9,0.002811610698699951,0.9999979963708782
SCoSaMP,surrogate_arip_v1,0.95,0.003036201000213623,0.9999989635616718
